,0,1,id,year,place,printer,initial
293,48.486053,-36.38395,2077,1551,Seville,"Alvares, António","2077_Cortes_Arte_1551_p87,1076,443,128,124.jpg"
294,18.199696,-38.68002,1924,1488,Venice,Company Johannes Lucilius Santritter & Girolamo de Sanctis,"1924_sacrobosco_spaerae_1488_p110,294,239,157,160.jpg"
295,-5.654149,-0.46783397,1936,1579,Florence,"Giunta, Jacopo","1936_rinaldi_sfera_1579_p79,403,1023,512,519.jpg"
296,38.99174,-17.687529,1963,1608,Paris,"Denise Cavellat, Widow of Arnold Sittart","1963_sacrobosco_sphaera_1608_p183,234,996,158,166.jpg"
297,-45.12918,34.648758,1801,1626,Leiden,Company Bonaventura Elsevier & Abraham Elsevier,"1801_sacrobosco_sphaera_1626_p8,195,946,752,785.jpg"
298,54.063187,8.047877,1943,1569,Basel,"Petri, Heinrich","1943_schreckenfuchs_commentaria_1569_p66,129,751,273,273.jpg"
299,42.546993,-8.920983,1814,1603,Venice,"Ciotti, Giovanni Battista","1814_clavius_commentarius_1603_p435,101,451,184,172.jpg"
300,-45.220715,-24.643547,2063,1566,Venice,Company Giovanni Varisco & compagni,"2063_Piccolomini_Sfera_1566_p194,388,1533,1068,1060.jpg"
301,4.5219584,53.905964,1929,1518,Venice,"Giunta, Lucantonio","1929_regiomontanus_sphera_1518_p34,2590,5129,523,523.jpg"
302,-41.156113,14.04167,1974,1569,Paris,Company Guillaume Cavellat & Jérôme de Marnef,"1974_vinet_sphaera_1569_p117,433,709,326,335.jpg"
303,-55.12306,-11.334475,2281,1582,Antwerp,"Bellère, Jean","2281_giuntini_emendata_1582_p309,73,590,405,417.jpg"
304,-11.758863,3.6162543,2255,1587,Venice,"Franceschi, Francesco de","2255_fine_opere_1587_p49,144,1696,283,306.jpg"
305,-25.441044,1.0864536,2250,1532,Paris,"Morrhy, Gérard","2250_fine_protomathesis_1532_p149,1046,1583,649,602.jpg"
306,60.031395,-1.4952922,1980,1622,Leipzig,"Jansonius, Justus","1980_triegler_tractaetlein_1622_p168,148,495,180,174.jpg"
307,-39.926186,14.08871,2227,1572,London,"Jugge, Richard","2227_cortes_arte_1572_p24,805,2808,441,459.jpg"
308,-62.822826,47.106716,2279,1599,London,"Judson, Thomas","2279_hill_schoole_1599_p11,427,683,324,311.jpg"
309,-10.489216,-16.446842,1821,1602,Saint Gervais,"Crispin, Samuel","1821_clavius_commentarius_1602_p370,311,440,245,241.jpg"
310,7.562958,60.24598,1929,1518,Venice,"Giunta, Lucantonio","1929_regiomontanus_sphera_1518_p50,675,5931,463,493.jpg"
311,43.653812,-44.20275,1870,1521,Paris,"Colines, Simon de","1870_lattes_textus_1521_p17,1225,134,130,130.jpg"
312,52.206684,-3.488498,2247,1535,Seville,"Cromberger, Juan","2247_falero_tratado_1535_p15,203,204,215,197.jpg"
313,29.880367,3.3684077,1974,1569,Paris,Company Guillaume Cavellat & Jérôme de Marnef,"1974_vinet_sphaera_1569_p165,441,194,236,246.jpg"
314,-67.06856,-5.5607457,2225,1579,London,Widow of Richard Jugge (Joan Jugge),"2225_cortes_arte_1597_p20,2692,1096,790,744.jpg"
315,-0.91987157,-44.73186,1718,1561,Venice,"Bevilacqua, Niccolò","1718_sacrobosco_sfera_1561_p19,391,1421,681,696.jpg"
316,-57.360317,51.225437,2279,1599,London,"Judson, Thomas","2279_hill_schoole_1599_p27,1513,171,322,333.jpg"
317,57.382202,-38.302544,1836,1574,Perugia,"Rastelli, Giovanni Bernardino","1836_danti_sfera_1574_p6,87,238,107,118.jpg"
318,4.34454,-66.93725,1697,1548,Seville,"León, Juan de","1697_sacrobosco_tractado_1548_p361,404,286,369,380.jpg"
319,-7.4733458,38.101646,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p152,346,1197,583,596.jpg"
320,22.892872,-7.0422497,1808,1585,Rome,"Basa, Domenico","1808_clavius_sphaera_1585_p326,418,507,212,216.jpg"
321,-75.976425,-7.818383,2227,1572,London,"Jugge, Richard","2227_cortes_arte_1572_p73,2808,1026,769,736.jpg"
322,-0.9423038,-37.942234,1842,1535,Salamanca,"Castañeda, Rodrigo de","1842_espinosa_philosophia_1535_p192,1442,257,260,265.jpg"
323,-34.352154,5.002867,1974,1569,Paris,Company Guillaume Cavellat & Jérôme de Marnef,"1974_vinet_sphaera_1569_p147,361,941,340,331.jpg"
324,-60.459705,7.1475053,1952,1551,Paris,"Cavellat, Guillaume","1952_vinet_sphaera_1551_p14,165,448,334,327.jpg"
325,15.079159,16.851353,1877,1519,Cologne,"Aich, Arnd von","1877_heinfogel_anfanck_1519_p8,25,50,225,225.jpg"
326,24.13541,-37.620205,1928,1485,Venice,"Ratdolt, Erhard","1928_sacrobosco_noviciis_1485_p54,127,574,151,180.jpg"
327,21.345146,26.554237,2250,1532,Paris,"Morrhy, Gérard","2250_fine_protomathesis_1532_p166,673,4862,589,589.jpg"
328,-21.127821,-32.995693,1832,1531,Paris,"Colines, Simon de","1832_detaples_textus_1531_p14,559,2385,267,275.jpg"
329,-9.842707,-44.237457,1842,1535,Salamanca,"Castañeda, Rodrigo de","1842_espinosa_philosophia_1535_p140,2751,1098,260,271.jpg"
330,22.924799,1.892201,1815,1606,Rome,"Zanetti, Luigi","1815_clavius_sphaera_1606_p363,145,576,209,234.jpg"
331,-2.3357158,44.365273,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p132,337,3948,444,431.jpg"
332,-35.208702,34.64361,1746,1593,Lyon,"Julliéron, Guichard","1746_sacrobosco_christophori_1593_p294,372,1871,548,588.jpg"
333,-19.386574,-11.45751,1835,1571,Florence,"Giunta, Jacopo","1835_sacrobosco_sfera_1571_p47,152,342,258,246.jpg"
334,48.032173,-39.52193,2077,1551,Seville,"Alvares, António","2077_Cortes_Arte_1551_p39,1073,786,132,130.jpg"
335,-63.02062,7.928065,2227,1572,London,"Jugge, Richard","2227_cortes_arte_1572_p60,799,1994,592,625.jpg"
336,-7.6864066,26.7204,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p675,490,3902,430,418.jpg"
337,-34.832355,39.3127,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p659,665,2799,711,711.jpg"
338,64.12147,-38.820206,1806,1570,Rome,"Eliano, Vittorio","1806_clavius_sphaeram_1570_p155,115,960,106,115.jpg"
339,-59.10005,48.15127,2279,1599,London,"Judson, Thomas","2279_hill_schoole_1599_p105,1456,879,327,320.jpg"
340,42.632133,-30.106049,1823,1508,Venice,Company Giovanni Rosso & Bernardino Rosso (brothers),"1823_dailly_textus_1508_p74,735,1574,148,152.jpg"
341,20.471886,-58.073048,2280,1556,Seville,"Alvares, António","2280_cortes_breve_1556_p81,211,836,176,175.jpg"
342,-76.18702,-7.5231614,2227,1572,London,"Jugge, Richard","2227_cortes_arte_1572_p79,629,371,766,744.jpg"
343,-10.459526,47.37391,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p602,314,4374,507,456.jpg"
344,-34.508255,-3.6797068,1816,1607,Lyon,Jacques du Creux a.k.a. Molliard,"1816_clavius_sphaeram_1607_p35,523,2104,516,516.jpg"
345,-7.160648,81.42721,1929,1518,Venice,"Giunta, Lucantonio","1929_regiomontanus_sphera_1518_p324,639,3581,532,532.jpg"
346,37.64134,-13.495233,1962,1619,Paris,"Quesnel, Jacques","1962_vinet_sphaera_1619_p93,1469,1442,200,213.jpg"
347,56.21413,-41.103973,1836,1574,Perugia,"Rastelli, Giovanni Bernardino","1836_danti_sfera_1574_p56,202,544,105,118.jpg"
348,8.554319,38.03153,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p122,357,3274,431,380.jpg"
349,41.851456,-27.836761,1961,1591,Cologne,"Cholinus, Goswin","1961_vinet_sphaera_1591_p134,110,335,142,149.jpg"
350,18.306396,-22.075493,2255,1587,Venice,"Franceschi, Francesco de","2255_fine_opere_1587_p94,190,1687,303,320.jpg"
351,-4.937844,28.910564,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p596,341,4838,534,509.jpg"
352,-33.13552,18.838713,2197,1568,Valladolid,"Ghemart, Adrián","2197_spinosa_sphera_1568_p148,707,638,606,613.jpg"
353,-51.503307,-33.768486,2255,1587,Venice,"Franceschi, Francesco de","2255_fine_opere_1587_p431,75,1542,476,529.jpg"
354,-7.5152025,45.688248,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p878,453,4270,497,497.jpg"
355,64.111206,-16.894293,1970,1577,Paris,Company Jérôme de Marnef & Widow of Guillaume Cavellat (Denise de Marnef),"1970_sacrobosco_sphaera_1577_p115,190,399,138,130.jpg"
356,1.5205588,14.91343,1822,1618,Lyon,"Polère, Amédée","1822_clavius_sphaera_1618_p309,38,1744,214,230.jpg"
357,-23.24518,5.435001,1755,1607,Saint Gervais,"Crispin, Samuel","1755_clavius_commentarius_1607_p504,783,1240,329,350.jpg"
358,24.098558,5.092713,1811,1596,Venice,"Basa, Bernardo","1811_clavius_sphaera_1596_p11,129,659,207,203.jpg"
359,-8.382727,-34.355377,1842,1535,Salamanca,"Castañeda, Rodrigo de","1842_espinosa_philosophia_1535_p99,2711,923,265,248.jpg"
360,32.930244,-39.1952,1804,1526,Alcalá de Henares,"Eguia, Miguel de","1804_ailly_sphaera_1526_p78,573,764,119,129.jpg"
361,-10.102263,-44.1917,1842,1535,Salamanca,"Castañeda, Rodrigo de","1842_espinosa_philosophia_1535_p126,1515,449,276,276.jpg"
362,-36.191467,-28.730274,2273,1575,Venice,"Franceschi, Francesco de","2273_maurolico_opuscula_1575_p9,206,1292,351,347.jpg"
363,-0.64124894,1.1875619,2197,1568,Valladolid,"Ghemart, Adrián","2197_spinosa_sphera_1568_p12,659,876,407,394.jpg"
364,-10.567438,79.77142,1929,1518,Venice,"Giunta, Lucantonio","1929_regiomontanus_sphera_1518_p328,2650,801,509,544.jpg"
365,25.305222,7.915973,2247,1535,Seville,"Cromberger, Juan","2247_falero_tratado_1535_p59,183,79,210,222.jpg"
366,-21.450819,-30.45733,1700,1550,Salamanca,"Junta, Juan de","1700_sacrobosco_sphera_1550_p16,226,1158,372,368.jpg"
367,-13.205184,46.763794,1855,1578,Lyon,"Tinghi, Philippe","1855_giuntini_sphaera_1578_p87,463,1359,481,475.jpg"
368,-24.433939,16.611609,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p1094,489,4942,534,560.jpg"
369,42.75129,49.054016,1659,1518,Venice,Company Heirs of Ottaviano Scoto I.,"1659_sacrobosco_sphera_1518_p233,2491,1811,425,415.jpg"
